Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Spider-Man 3,Wii,2007,Platform,Activision,0.42,0.02,0,0.04,0.47,53,39,5.3,29,Vicarious Visions,T
Gauntlet Legends,PS,2000,Action,Midway Games,0.26,0.18,0,0.03,0.47,,,,,,
Dragon Ball: XenoVerse,PS3,2015,Fighting,Namco Bandai Games,0.15,0.13,0.14,0.06,0.47,,,7.1,61,Dimps Corporation,T
NHL 16,XOne,2015,Sports,Electronic Arts,0.38,0.05,0,0.05,0.47,80,18,6,81,"EA Sports, EA Canada",E10+
WipEout,PS,1995,Action,Psygnosis,0.26,0.18,0,0.03,0.47,,,,,,
James Bond 007: Blood Stone,X360,2010,Shooter,Activision,0.2,0.23,0,0.05,0.47,62,66,7.1,63,Bizarre Creations,T
Dark Sector,PS3,2008,Shooter,D3Publisher,0.23,0.16,0.01,0.07,0.47,72,47,7.6,70,Digital Extremes,M
ICO,PS2,2001,Action,Sony Computer Entertainment,0.23,0.18,0,0.06,0.47,90,59,8.8,316,SCE Japan Studio,T
World of Warcraft: Warlords of Draenor,PC,2014,Action,Activision Blizzard,0.08,0.36,0,0.03,0.47,87,49,5.9,1152,Blizzard Entertainment,T
Ford Racing Off Road,Wii,2008,Racing,Xplosiv,0.06,0.39,0,0.01,0.47,37,5,6.3,4,Razorworks,E
Cars: Race-O-Rama,DS,2009,Racing,THQ,0.35,0.08,0,0.04,0.47,,,tbd,,Tantalus Interactive,E
Dragon Quest 25 Shuunen Kinin: Famicom & Super Famicom Dragon Quest I-II-III,Wii,2011,Role-Playing,Square Enix,0,0,0.47,0,0.47,,,,,,
Unreal Tournament III,X360,2008,Shooter,Midway Games,0.25,0.17,0.01,0.05,0.47,82,47,7.6,95,Epic Games,M
Victorious Boxers: Ippo's Road to Glory,PS2,2000,Fighting,Empire Interactive,0.05,0.04,0.38,0.01,0.47,75,15,8,10,New,T
Densetsu no Stafi,GBA,2002,Platform,Nintendo,0,0,0.46,0.01,0.47,,,,,,
Valkyrie Profile 2: Silmeria,PS2,2006,Role-Playing,Square Enix,0.04,0.03,0.39,0.01,0.47,84,45,9,59,Tri-Ace,T
Hot Wheels Velocity X,PS2,2002,Racing,THQ,0.23,0.18,0,0.06,0.47,54,7,7.1,16,Beyond Games,E
MySims Racing,Wii,2009,Racing,Electronic Arts,0.19,0.23,0,0.05,0.47,68,22,7.4,5,EA Games,E
Clash of Elementalists,DS,2010,Action,Level 5,0,0,0.47,0,0.47,34,4,tbd,,Teyon,T
Farming Simulator 17,PC,2016,Simulation,Focus Home Interactive,0.02,0.42,0,0.03,0.47,64,5,8.1,18,Giants Software,E
F.E.A.R. 2: Project Origin,PS3,2009,Shooter,Warner Bros. Interactive Entertainment,0.19,0.2,0.01,0.08,0.47,79,48,7.9,97,Monolith Productions,M
L.A. Rush,PS2,2005,Racing,Midway Games,0.23,0.18,0,0.06,0.47,58,31,8,10,Midway,T
Doom 64,N64,1997,Shooter,Midway Games,0.38,0.08,0,0.01,0.47,,,,,,
Bomberman Hero,N64,1998,Platform,Nintendo,0.27,0.06,0.08,0.05,0.47,,,,,,
Automobili Lamborghini,N64,1997,Racing,Titus,0.28,0.17,0,0.01,0.47,,,,,,
Quest 64,N64,1998,Role-Playing,Konami Digital Entertainment,0.38,0.08,0,0.01,0.47,,,,,,
Momotarou Dentetsu V,PS,1999,Misc,Hudson Entertainment,0,0,0.44,0.03,0.47,,,,,,
The Sims 2: Pets,Wii,2007,Simulation,Electronic Arts,0.41,0.02,0,0.04,0.47,65,15,7.3,4,Maxis,T
Crash: Mind Over Mutant,X360,2008,Platform,Vivendi Games,0.22,0.2,0,0.05,0.47,60,42,6.5,23,Radical Entertainment,E10+
Viva Pinata: Trouble in Paradise,X360,2008,Simulation,Microsoft Game Studios,0.16,0.25,0.01,0.05,0.47,82,64,7.9,61,Rare Ltd.,E
Street Fighter X Tekken,X360,2012,Fighting,Capcom,0.31,0.1,0.03,0.04,0.47,83,45,4.4,177,Capcom,T
NBA Ballers: Phenom,PS2,2006,Sports,Midway Games,0.23,0.18,0,0.06,0.47,69,19,8.5,8,Midway,E
Epic Mickey 2: The Power of Two,PS3,2012,Action,Disney Interactive Studios,0.21,0.18,0,0.08,0.47,59,36,4.3,24,Blitz Games Studios,E
Dragon Age Origins: Awakening,X360,2010,Role-Playing,Electronic Arts,0.33,0.1,0,0.04,0.47,,,,,,
Need for Speed Carbon,XB,2006,Racing,Electronic Arts,0.35,0.1,0,0.02,0.47,74,19,7.4,11,EA Canada,E10+
Shadowrun,X360,2007,Role-Playing,Microsoft Game Studios,0.41,0.02,0,0.04,0.47,66,57,7.5,156,FASA Studio,M
Jake Power: Fireman,DS,2008,Adventure,Ubisoft,0.08,0.34,0,0.05,0.47,,,tbd,,Magic Pockets,E
MTV Music Generator,PS,1999,Misc,Codemasters,0.26,0.18,0,0.03,0.47,,,,,,
Hamsterz Life,DS,2006,Action,Ubisoft,0.43,0.01,0,0.04,0.47,,,9,13,Digital Kids,E
"Warhammer 40,000: Dawn of War II",PC,2009,Strategy,THQ,0,0.45,0,0.02,0.47,85,67,8.1,1500,Relic,M
Pinball Hall of Fame: The Williams Collection,Wii,2008,Misc,System 3 Arcade Software,0.41,0.03,0,0.04,0.47,82,16,8.8,36,Farsight Studios,E10+
FlingSmash,Wii,2010,Action,Nintendo,0.37,0.01,0.07,0.02,0.47,48,26,6.8,13,Artoon,E
Emergency Heroes,Wii,2008,Racing,Ubisoft,0.14,0.27,0,0.05,0.47,41,12,4.2,15,"Ubisoft Barcelona, Ubisoft Reflections",E10+
World Soccer Winning Eleven 8: Liveware Evolution,PS2,2005,Sports,Konami Digital Entertainment,0,0,0.47,0,0.47,,,,,,
Crazy Taxi: Fare Wars,PSP,2007,Racing,Sega,0.1,0.22,0.02,0.12,0.47,64,25,7.1,18,Sega,E10+
Cars: Race-O-Rama,PS2,2009,Racing,THQ,0.27,0.03,0,0.17,0.47,,,tbd,,Incinerator Games,E
Downhill Domination,PS2,2003,Racing,Codemasters,0.23,0.18,0,0.06,0.47,79,40,8.9,32,Incognito Inc.,T
Pirates of the Caribbean: Dead Man's Chest,GBA,2006,Adventure,Disney Interactive Studios,0.33,0.12,0,0.01,0.47,70,8,5.6,5,Amaze Entertainment,E10+
Dead Space Extraction,Wii,2009,Shooter,Electronic Arts,0.32,0.1,0.01,0.04,0.47,82,76,8.1,82,"Eurocom Entertainment Software, Visceral Games",M
Silent Hill: Shattered Memories,Wii,2009,Action,Konami Digital Entertainment,0.22,0.19,0.01,0.05,0.47,79,56,8,226,"Climax Group, Climax Studios",M
Spider-Man: Friend or Foe,DS,2007,Action,Activision,0.43,0,0,0.04,0.47,55,12,tbd,,Artificial Mind and Movement,E10+
Active Life: Extreme Challenge,Wii,2009,Sports,Namco Bandai Games,0.14,0.27,0,0.06,0.47,56,13,tbd,,TOSE,E
FIFA 12,PC,2011,Sports,Electronic Arts,0.04,0.33,0,0.1,0.47,,,,,,
World Series of Poker,PS2,2005,Misc,Activision,0.39,0.01,0,0.06,0.47,46,15,8.2,20,Activision,E10+
Inazuma Eleven Go 2: Chrono Stone,3DS,2012,Role-Playing,Level 5,0,0.01,0.46,0,0.47,,,,,,
NHL 97,PS,1996,Sports,Electronic Arts,0.26,0.18,0,0.03,0.47,,,,,,
Rise of Nightmares,X360,2011,Action,Sega,0.28,0.13,0.01,0.04,0.47,54,56,7.8,44,Sega,M
Final Fantasy Crystal Chronicles: Echoes of Time,DS,2009,Role-Playing,Square Enix,0.12,0.06,0.27,0.02,0.47,75,37,7.3,21,Square Enix,E10+
EA Sports UFC,XOne,2014,Sports,Electronic Arts,0.3,0.12,0,0.04,0.47,70,23,6.3,152,EA Sports,T
Kong: The 8th Wonder of the World,GBA,2005,Action,Ubisoft,0.33,0.12,0,0.01,0.47,59,8,tbd,,Ubisoft,E10+
Skylanders: SuperChargers,WiiU,2015,Action,Activision,0.24,0.18,0,0.04,0.47,87,13,5.6,65,Vicarious Visions,E10+
Spider-Man 3,DS,2007,Platform,Activision,0.41,0.02,0,0.04,0.47,79,21,6.5,17,Vicarious Visions,E10+
Dead or Alive 4,X360,2005,Fighting,Tecmo Koei,0.3,0.03,0.1,0.03,0.47,85,76,8.2,223,Team Ninja,M
Overwatch,PC,2016,Shooter,Activision,0.22,0.2,0,0.04,0.47,91,60,6.8,3955,Blizzard Entertainment,T
Godzilla: Save the Earth,PS2,2004,Fighting,Atari,0.23,0.18,0,0.06,0.47,62,19,8.7,21,"Pipeworks Software, Inc.",T
Dance Dance Revolution: Mario Mix,GC,2005,Misc,Nintendo,0.36,0.09,0,0.01,0.47,69,28,8.4,19,Hudson,E
Metal Gear Solid: The Twin Snakes,GC,2004,Action,Konami Digital Entertainment,0.3,0.08,0.07,0.01,0.47,85,54,9,141,Silicon Knights,M
FIFA Soccer 13,WiiU,2012,Action,Electronic Arts,0.16,0.26,0,0.04,0.47,69,28,6.2,49,Electronic Arts,E
Tiger Woods PGA Tour 07,Wii,N/A,Sports,Electronic Arts,0.43,0,0,0.04,0.47,71,41,6.9,44,EA Redwood Shores,E
Mat Hoffman's Pro BMX 2,PS2,2002,Sports,Activision,0.23,0.18,0,0.06,0.46,76,22,9.1,7,Rainbow Studios,T
Metal Gear Solid: The Essential Collection,PS2,2007,Adventure,Konami Digital Entertainment,0.23,0.18,0,0.06,0.46,,,8.9,9,Konami,M
Iridion 3D,GBA,2001,Shooter,THQ,0.33,0.12,0,0.01,0.46,53,15,tbd,,Shin'en,E
Classic NES Series: Pac-Man,GBA,2004,Puzzle,Nintendo,0.25,0.09,0.12,0.01,0.46,53,13,tbd,,Nintendo,E
Two Worlds II,PS3,2011,Role-Playing,Unknown,0.26,0.1,0.06,0.05,0.46,70,28,7,65,Reality Pump,M
Plants vs. Zombies: Garden Warfare 2,PS4,2016,Shooter,Electronic Arts,0.17,0.21,0,0.08,0.46,81,29,7.7,109,PopCap,E10+
Puzzle & Dragons Z + Super Mario Bros. Edition,3DS,2015,Puzzle,Nintendo,0.05,0.06,0.34,0.01,0.46,,,,,,
Destroy All Humans!,XB,2005,Shooter,THQ,0.34,0.11,0,0.02,0.46,,,,,,
Petz Sports,Wii,2008,Simulation,Ubisoft,0.42,0.01,0,0.04,0.46,,,,,,
2010 FIFA World Cup South Africa,PSP,2010,Sports,Electronic Arts,0.09,0.22,0.03,0.12,0.46,69,11,7.4,9,Electronic Arts,E
Imagine: Figure Skater (US sales),DS,2007,Sports,Ubisoft,0.46,0.01,0,0,0.46,,,,,,
Football Manager 2015,PC,2014,Simulation,Sega,0,0.44,0,0.03,0.46,80,36,6,151,Sports Interactive,
Dragon Ball Z: Collectible Card Game,GBA,2002,Misc,Infogrames,0.33,0.12,0,0.01,0.46,62,4,5.5,4,ImaginEngine,E
SimCity Creator,Wii,2008,Simulation,Electronic Arts,0.36,0.02,0.04,0.04,0.46,67,17,6.8,13,Electronic Arts,E
The Sims 3: Ambitions,PC,2010,Simulation,Electronic Arts,0,0.29,0,0.17,0.46,74,25,7.3,51,EA Redwood Shores,T
Harry Potter and the Order of the Phoenix,Wii,2007,Action,Electronic Arts,0.38,0.05,0,0.04,0.46,69,34,7.2,28,EA Games,E10+
Razor Freestyle Scooter,PS,1999,Sports,Ubisoft,0.26,0.17,0,0.03,0.46,65,11,tbd,,Shaba Games,E
Art Academy: Lessons for Everyone,3DS,2012,Action,Nintendo,0.2,0.03,0.21,0.02,0.46,81,14,7.6,22,"Nintendo, Headstrong Games",E
Disney's Kim Possible 3: Team Possible,GBA,2005,Platform,Disney Interactive Studios,0.33,0.12,0,0.01,0.46,76,6,7.7,6,Artificial Mind and Movement,E
Rygar: The Legendary Adventure,PS2,2002,Action,Wanadoo,0.2,0.15,0.06,0.05,0.46,83,30,8.4,14,Tecmo,T
Syphon Filter: Logan's Shadow,PSP,2007,Shooter,Sony Computer Entertainment,0.25,0.12,0,0.09,0.46,85,41,8.8,46,Sony Bend,T
Kessen II,PS2,2001,Strategy,THQ,0.13,0.1,0.2,0.03,0.46,71,15,8.3,22,Koei,T
Stuart Little 2,GBA,2002,Platform,Activision,0.33,0.12,0,0.01,0.46,59,10,tbd,,Creations,E
Mad Max (2015),XOne,2015,Action,Warner Bros. Interactive Entertainment,0.26,0.16,0,0.04,0.46,,,,,,
Tak 2: The Staff of Dreams,GBA,2004,Platform,THQ,0.33,0.12,0,0.01,0.46,45,5,tbd,,Avalanche Software,E
SingStar Amped,PS2,2007,Misc,Sony Computer Entertainment,0.23,0.18,0,0.06,0.46,76,20,tbd,,SCEE London Studio,T
Brothers In Arms: Earned in Blood,PS2,2005,Shooter,Ubisoft,0.38,0.01,0,0.06,0.46,71,20,7.9,23,Gearbox Software,M
Dragon Ball Z: Sagas,PS2,2005,Fighting,Atari,0.38,0.01,0,0.06,0.46,49,13,5.6,28,Avalanche Software,T
Scooby-Doo,GBA,2001,Platform,THQ,0.33,0.12,0,0.01,0.46,64,5,tbd,,Helixe,E
Hydro Thunder,PS,1999,Racing,Midway Games,0.26,0.17,0,0.03,0.46,,,,,,
MX vs. ATV: Alive,PS3,2011,Racing,THQ,0.24,0.15,0,0.07,0.46,61,41,6.7,11,THQ Digital Studio Phoenix,E
NHL FaceOff '97,PS,1996,Sports,Sony Computer Entertainment,0.26,0.17,0,0.03,0.46,,,,,,
Thief (2014),XOne,2014,Action,Square Enix,0.26,0.15,0,0.04,0.46,,,,,,
Brothers In Arms: Road to Hill 30,PS2,2005,Shooter,Ubisoft,0.38,0.01,0,0.06,0.46,82,30,7.6,30,Gearbox Software,M
The Legend of Spyro: Dawn of the Dragon,DS,2008,Platform,Vivendi Games,0.26,0.15,0,0.05,0.46,57,9,6.8,10,Etranges Libellules,E
The Mark of Kri,PS2,2002,Action,Sony Computer Entertainment,0.22,0.18,0,0.06,0.46,80,37,7.9,29,SCEA,M
Jampack Winter 2003 (RP-M),PS2,2003,Misc,Sony Computer Entertainment,0.22,0.18,0,0.06,0.46,,,,,,
Rugrats: Castle Capers,GBA,2001,Action,THQ,0.33,0.12,0,0.01,0.46,,,,,,
Crash Nitro Kart,GBA,2003,Racing,Vivendi Games,0.33,0.12,0,0.01,0.46,77,6,8.3,12,Vicarious Visions,E
Need for Speed: Hot Pursuit,Wii,2010,Racing,Electronic Arts,0.17,0.23,0,0.05,0.46,50,8,3.7,18,Exient Entertainment,E10+
Crayola: Treasure Adventures,DS,2007,Puzzle,Ignition Entertainment,0.42,0.01,0,0.03,0.46,65,14,tbd,,Crave,E
Mega Man Star Force 3: Black Ace / Red Joker,DS,2008,Action,Capcom,0.22,0,0.22,0.02,0.46,,,,,,
LEGO The Hobbit,PS3,2014,Action,Warner Bros. Interactive Entertainment,0.12,0.27,0,0.07,0.46,,,7,10,TT Games,E10+
Jak and Daxter: The Lost Frontier,PS2,2009,Platform,Sony Computer Entertainment,0.22,0.17,0,0.06,0.46,72,8,4.6,32,High Impact Games,E10+
Momotarou Dentetsu 11,PS2,2002,Misc,Hudson Soft,0,0,0.46,0,0.46,,,,,,
WWE SmackDown vs. Raw 2011,Wii,2010,Fighting,THQ,0.29,0.13,0,0.04,0.46,72,7,tbd,,Yuke's,T
The Sims 3: Outdoor Living Stuff,PC,2011,Simulation,Electronic Arts,0,0.38,0,0.08,0.46,,,5.6,17,The Sims Studio,T
The Evil Within,X360,2014,Action,Bethesda Softworks,0.25,0.16,0.01,0.04,0.46,,,7.6,172,Tango Gameworks,M
The Walking Dead: Season One,PS4,2014,Adventure,Telltale Games,0.12,0.25,0.02,0.07,0.46,,,,,,
Star Wars: Demolition,PS,2000,Racing,Activision,0.25,0.17,0,0.03,0.46,63,11,6.5,6,"Luxoflux, Inc.",T
NBA Live 07,X360,2006,Sports,Electronic Arts,0.42,0,0,0.04,0.46,59,32,4.9,60,EA Sports,E
Bloody Roar II,PS,1999,Fighting,Virgin Interactive,0.25,0.17,0,0.03,0.46,,,,,,
One Piece: Pirate Warriors 3,PS4,2015,Action,Namco Bandai Games,0.08,0.22,0.1,0.06,0.46,74,34,7.4,115,Omega Force,T
Delta Force: Black Hawk Down,PS2,2005,Shooter,NovaLogic,0.22,0.17,0,0.06,0.46,58,25,8.8,51,Rebellion,T
The Princess and the Frog,Wii,2009,Platform,Disney Interactive Studios,0.29,0.13,0,0.04,0.46,,,tbd,,Griptonite Games,E
.hack//Outbreak Part 3,PS2,2002,Role-Playing,Atari,0.14,0.11,0.17,0.04,0.46,70,23,8.7,19,CyberConnect2,T
Mother 1+2,GBA,2003,Role-Playing,Nintendo,0,0,0.45,0.01,0.46,,,,,,
MX vs. ATV Untamed,PS3,2007,Racing,THQ,0.35,0.06,0,0.05,0.46,67,33,6.1,8,Rainbow Studios,E
Top Spin,XB,2003,Sports,Microsoft Game Studios,0.36,0.08,0,0.02,0.46,89,44,8.2,31,Pam Development,E
Boom Blox Bash Party,Wii,2009,Puzzle,Electronic Arts,0.33,0.09,0,0.04,0.46,86,48,8.4,37,EA LA,E
Brothers In Arms: D-Day,PSP,2006,Shooter,Ubisoft,0.23,0.14,0,0.09,0.46,65,19,9.1,64,Ubisoft Shanghai,M
Warhawk,PS,1995,Simulation,Sony Computer Entertainment,0.25,0.17,0,0.03,0.46,,,,,,
The Golden Compass,X360,2007,Action,Sega,0.3,0.12,0,0.04,0.46,41,25,4.1,14,Shiny Entertainment,E10+
Tales of Vesperia,PS3,2009,Role-Playing,Namco Bandai Games,0,0,0.45,0,0.45,,,,,Bandai Namco Games,
Plants vs. Zombies: Garden Warfare 2,XOne,2016,Shooter,Electronic Arts,0.26,0.15,0,0.04,0.45,80,64,8.1,78,PopCap,E10+
2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,GBA,2005,Platform,THQ,0.33,0.12,0,0.01,0.45,,,,,,
Dora The Explorer: Dora Saves the Snow Princess,DS,2008,Platform,Take-Two Interactive,0.26,0.15,0,0.03,0.45,,,,,,
Missile Command,PS,1999,Shooter,Atari,0.25,0.17,0,0.03,0.45,,,,,,
Jikkyou Powerful Pro Yakyuu 12,PS2,2005,Sports,Konami Digital Entertainment,0,0,0.45,0,0.45,,,,,,
Enter the Matrix,GC,2003,Action,Atari,0.34,0.09,0.02,0.01,0.45,63,23,8,45,Shiny Entertainment,T
NASCAR 2005: Chase for the Cup,XB,2004,Racing,Electronic Arts,0.34,0.1,0,0.02,0.45,86,16,tbd,,EA Tiburon,E
LEGO The Hobbit,X360,2014,Action,Warner Bros. Interactive Entertainment,0.2,0.21,0,0.04,0.45,70,4,8.7,11,TT Games,E10+
Vin Diesel: Wheelman,X360,2009,Racing,Ubisoft,0.24,0.17,0,0.05,0.45,,,,,,
NHL 15,X360,2014,Sports,Electronic Arts,0.35,0.05,0,0.05,0.45,,,2.8,47,EA Sports,E10+
Phantasy Star Online Episode I & II,GC,2002,Role-Playing,Infogrames,0.23,0.06,0.16,0.01,0.45,,,,,,
Silent Hill: Downpour,PS3,2012,Action,Konami Digital Entertainment,0.21,0.14,0.04,0.06,0.45,64,41,6.9,260,Vatra,M
Just Dance 2014,XOne,2013,Misc,Ubisoft,0.3,0.11,0,0.04,0.45,71,6,7,58,Ubisoft,E10+
The Powerpuff Girls: Relish Rampage,PS2,2002,Action,BAM! Entertainment,0.22,0.17,0,0.06,0.45,46,5,6.8,5,VIS Entertainment,E
Bleach: The Blade of Fate,DS,2006,Fighting,Sega,0.29,0.01,0.12,0.03,0.45,83,32,7.5,23,Treasure,T
PlayStation All-Stars Battle Royale,PSV,2012,Action,Sony Computer Entertainment,0.21,0.14,0.01,0.09,0.45,75,15,7.5,220,Bluepoint Games,T
American Girl: Kit Mystery Challenge!,DS,2008,Adventure,THQ,0.42,0,0,0.03,0.45,,,tbd,,Webfoot Technologies,E
Country Dance 2,Wii,2011,Misc,GameMill Entertainment,0.43,0,0,0.03,0.45,,,tbd,,High Voltage Software,E10+
The Chronicles of Riddick: Escape from Butcher Bay,XB,N/A,Shooter,Vivendi Games,0.32,0.11,0,0.02,0.45,89,84,8.9,85,Starbreeze,M
NFL Head Coach,PS2,2006,Sports,Electronic Arts,0.38,0.01,0,0.06,0.45,66,22,6.9,15,EA Tiburon,E
Tomb Raider: Legend,PSP,2006,Action,Eidos Interactive,0.09,0.24,0,0.12,0.45,67,28,7.9,30,Buzz Monkey,T
Nickelodeon Team Umizoomi,DS,2011,Action,Take-Two Interactive,0.42,0,0,0.03,0.45,,,tbd,,Black Lantern Studios,EC
NCAA Gamebreaker 99,PS,1998,Sports,989 Studios,0.25,0.17,0,0.03,0.45,,,,,,
Area 51,PS2,2005,Shooter,Midway Games,0.22,0.17,0,0.06,0.45,75,37,8.4,52,Midway Studios - Austin,M
Tomb Raider: Underworld,Wii,2008,Action,Eidos Interactive,0.13,0.27,0,0.05,0.45,70,12,7.2,20,Crystal Dynamics,T
World Stadium 2,PS,1998,Sports,Namco Bandai Games,0,0,0.42,0.03,0.45,,,,,,
NHL 2005,PS2,2004,Sports,Electronic Arts,0.22,0.17,0,0.06,0.45,75,21,8.3,23,EA Sports,E
Rock Band 4,XOne,2015,Misc,Harmonix Music Systems,0.36,0.04,0,0.05,0.45,79,27,6.4,53,Harmonix Music Systems,T
The New York Times Crosswords,DS,2007,Puzzle,Majesco Entertainment,0.42,0,0,0.03,0.45,79,15,6.7,6,BudCat,T
Karaoke Revolution Presents American Idol Encore,Wii,2008,Misc,Konami Digital Entertainment,0.42,0,0,0.03,0.45,,,7.8,21,Blitz Games,E
Barbie as The Island Princess,Wii,2007,Adventure,Activision,0.42,0,0,0.03,0.45,,,tbd,,"Human Soft, Ivolgamus",E
iCarly,Wii,2009,Adventure,Activision,0.42,0,0,0.03,0.45,,,tbd,,Blitz Games,E
Star Wars Jedi Knight: Jedi Academy,XB,2003,Shooter,Activision,0.34,0.1,0,0.02,0.45,76,30,8.7,30,Vicarious Visions,T
Brain Challenge,DS,2008,Misc,Ubisoft,0.41,0,0,0.03,0.45,68,7,7,4,Ubisoft,E
Dynasty Warriors: Strikeforce,PSP,2009,Action,Ubisoft Annecy,0.03,0.02,0.38,0.02,0.45,65,28,6.8,10,Omega Force,T
Command & Conquer: Red Alert 3,X360,2008,Strategy,Electronic Arts,0.18,0.23,0,0.05,0.45,,,,,,
Enemy Territory: Quake Wars,X360,2008,Shooter,Activision,0.3,0.11,0,0.04,0.45,69,54,7.3,26,Nerve Software,T
Lego Batman 3: Beyond Gotham,3DS,2014,Action,Warner Bros. Interactive Entertainment,0.21,0.2,0,0.04,0.45,,,6.4,7,TT Games,E10+
Major League Baseball 2K11,X360,2011,Sports,Take-Two Interactive,0.4,0.03,0,0.03,0.45,69,27,6.8,24,Visual Concepts,E
Apocalypse,PS,1998,Action,Activision,0.25,0.17,0,0.03,0.45,,,,,,
Harvest Moon DS (US sales),DS,2005,Simulation,Rising Star Games,0.4,0.05,0,0,0.45,,,,,,
Burnout Dominator,PSP,2007,Racing,Electronic Arts,0.02,0.38,0.01,0.05,0.45,76,23,8.2,27,Criterion Games,E10+
Yu-Gi-Oh! Destiny Board Traveler,GBA,2004,Misc,Konami Digital Entertainment,0.32,0.12,0,0.01,0.45,,,,,,
ATV Offroad Fury Pro,PSP,2006,Racing,Sony Computer Entertainment,0.37,0.03,0,0.04,0.45,76,32,tbd,,"Climax Group, Climax Studios",E
God Eater 2,PSV,2013,Role-Playing,Namco Bandai Games,0,0,0.45,0,0.45,,,,,,
Scooby-Doo! and the Spooky Swamp,Wii,2010,Action,Warner Bros. Interactive Entertainment,0.29,0.13,0,0.04,0.45,,,,,,
World Soccer Winning Eleven 5 Final Evolution,PS2,2001,Sports,Konami Digital Entertainment,0,0,0.45,0,0.45,,,,,,
Sphinx and the Cursed Mummy,PS2,2003,Action,THQ,0.22,0.17,0,0.06,0.45,78,28,9.1,36,Eurocom Entertainment Software,T
Crash of the Titans,Wii,2007,Action,Vivendi Games,0.39,0.02,0,0.03,0.45,69,16,5.8,22,Radical Entertainment,E10+
Red Faction: Armageddon,PS3,2011,Shooter,THQ,0.2,0.15,0.03,0.07,0.45,71,52,7.3,58,Volition Inc.,M
Rampage World Tour,N64,1998,Action,GT Interactive,0.36,0.08,0,0.01,0.45,,,,,,
Pokemon Puzzle League,N64,2000,Puzzle,Nintendo,0.36,0.08,0,0.01,0.45,81,15,8.9,27,Nintendo,E
PES 2009: Pro Evolution Soccer,Wii,2009,Sports,Konami Digital Entertainment,0.09,0.26,0.05,0.05,0.45,,,,,,
Despicable Me: The Game - Minion Mayhem,DS,2010,Puzzle,D3Publisher,0.37,0.05,0,0.03,0.45,,,,,,
Tekken Advance,GBA,2001,Fighting,Infogrames,0.32,0.12,0,0.01,0.45,82,14,8.2,13,Eighting/Raizing,T
Shin Megami Tensei: Persona 3,PS2,2006,Role-Playing,Tecmo Koei,0.22,0.03,0,0.2,0.45,86,52,8.4,116,Atlus Co.,M
Persona,PS,1995,Role-Playing,Atlus,0,0,0.42,0.03,0.45,,,,,,
Hot Wheels: Stunt Track Challenge,GBA,2004,Racing,THQ,0.32,0.12,0,0.01,0.45,,,tbd,,Climax Group,E
Mobile Suit Gundam,PS,1995,Action,Namco Bandai Games,0,0,0.42,0.03,0.45,,,,,,
TNA iMPACT!,X360,2008,Fighting,Midway Games,0.26,0.15,0,0.04,0.45,,,,,,
My Fashion Studio,DS,2007,Misc,Ubisoft,0.41,0,0,0.03,0.45,,,6.8,6,505 Games,E
Pirates of the Caribbean: At World's End,Wii,2007,Action,Disney Interactive Studios,0.39,0.02,0.01,0.04,0.45,53,17,7.2,17,Eurocom Entertainment Software,T
Lego Batman 3: Beyond Gotham,WiiU,2014,Action,Warner Bros. Interactive Entertainment,0.21,0.2,0,0.04,0.45,,,7,20,TT Games,E10+
Bee Movie Game,DS,2007,Action,Activision,0.41,0,0,0.03,0.45,58,9,tbd,,Vicarious Visions,E
SingStar Take That,PS2,2009,Misc,Sony Computer Entertainment,0,0.06,0,0.39,0.45,,,,,,
Sega Rally Revo,X360,2007,Racing,Sega,0.12,0.28,0,0.05,0.45,77,42,7.2,30,SEGA Racing Studio,E
Final Fantasy Collection,PS,1999,Role-Playing,Square,0,0,0.42,0.03,0.45,,,,,,
Disney Sing It! High School Musical 3: Senior Year,PS2,2008,Misc,Disney Interactive Studios,0.09,0.02,0,0.34,0.45,,,,,,
Samurai Warriors: Xtreme Legends,PS2,2004,Action,Tecmo Koei,0.04,0.03,0.36,0.01,0.45,72,17,8.6,13,Omega Force,T
LEGO Rock Band,DS,2009,Misc,Warner Bros. Interactive Entertainment,0.32,0.09,0,0.04,0.45,80,8,7.5,6,Backbone Entertainment,E
NHL FaceOff,PS,1994,Sports,Sony Computer Entertainment,0.25,0.17,0,0.03,0.45,,,,,,
WWE WrestleMania 21,XB,2005,Fighting,THQ,0.34,0.1,0,0.02,0.45,56,48,6.9,47,Studio Gigante,T
NBA Live 2005,GC,2004,Sports,Electronic Arts,0.35,0.09,0,0.01,0.45,83,17,6.7,7,EA Canada,E
F.E.A.R. 3,PS3,2011,Shooter,Warner Bros. Interactive Entertainment,0.21,0.16,0.01,0.07,0.45,74,48,7.1,103,Day 1 Studios,M
WWE Day of Reckoning,GC,2004,Fighting,THQ,0.35,0.09,0,0.01,0.45,79,47,9.1,80,Yuke's,T
NBA Live 10,X360,2009,Sports,Electronic Arts,0.4,0.02,0,0.03,0.45,80,40,7.7,37,EA Canada,E
ATV Quad Power Racing 2,XB,2003,Racing,Acclaim Entertainment,0.36,0.07,0,0.01,0.45,68,17,tbd,,Climax Group,E
Walt Disney World Quest: Magical Racing Tour,PS,2000,Racing,Eidos Interactive,0.25,0.17,0,0.03,0.45,,,,,,
